School,G,W,L,W-L%,SOS,FG%,3P%,FT%,Pace,PP100 Poss.,TS%,TRB%,AST%,STL%,eFG%,TOV%,RPI,Tournament?,auto.bid
Air Force,29,13,16,0.448,2.14,0.445,0.337,0.674,62.9,97.1,0.545,45.7,65.4,10.5,0.515,18.6,174,0,0
Akron,34,22,12,0.647,0.72,0.462,0.37,0.692,67.5,106.2,0.55,51.7,54.7,10.7,0.517,17.9,68,0,0
Alabama A&M,28,7,21,0.25,-10.79,0.409,0.313,0.647,68.7,90.8,0.49,48.7,49.9,9.2,0.457,20.6,342,0,0
UAB,31,15,16,0.484,3.64,0.419,0.344,0.686,62,97.2,0.513,52.3,53.8,7.1,0.477,19.5,115,0,0
Alabama State,31,12,19,0.387,-9.96,0.378,0.306,0.584,65.6,88.7,0.46,48.8,55.1,11.4,0.433,19.2,309,0,0
Alabama,33,21,12,0.636,7.18,0.452,0.289,0.711,62.9,102.2,0.529,51.9,51.7,11.4,0.491,17.5,40,1,0
Albany,34,19,15,0.559,-6.92,0.446,0.364,0.755,65.7,109.4,0.553,51.4,50.4,8.6,0.511,16.4,222,0,0
Alcorn State,32,10,22,0.313,-10.61,0.413,0.304,0.693,68.6,89.8,0.492,45.5,42.1,9.3,0.451,19.8,335,0,0
American,32,20,12,0.625,-5.24,0.425,0.394,0.716,62.9,102,0.529,48.9,56.7,7.2,0.493,15.6,153,0,0
Appalachian State,31,13,18,0.419,-3.28,0.441,0.343,0.649,68,100.2,0.529,49.9,50.8,8.8,0.501,18.3,255,0,0
Arizona State,31,10,21,0.323,4.31,0.454,0.364,0.677,63.4,96.3,0.549,51.2,57.6,8.8,0.517,22.9,239,0,0
Arizona,35,23,12,0.657,4.62,0.439,0.378,0.705,65.1,105.2,0.55,51.3,59.5,8.5,0.51,16.8,79,0,0
Arkansas-Little Rock,31,15,16,0.484,0.03,0.406,0.327,0.698,65.2,96.2,0.5,48.1,48.2,9.6,0.455,16.6,177,0,0
Arkansas-Pine Bluff,33,11,22,0.333,-8.34,0.413,0.3,0.637,66.3,91.7,0.491,48.1,52.1,10.5,0.455,19.5,303,0,0
Arkansas State,34,14,20,0.412,-0.52,0.432,0.37,0.668,64.1,100,0.518,51.9,43,9.6,0.482,18,224,0,0
Arkansas,32,18,14,0.563,3.63,0.434,0.353,0.691,70.2,102.4,0.525,47.3,53.6,11.8,0.49,16.1,116,0,0
Army,30,12,18,0.4,-7.16,0.422,0.355,0.727,69.4,96.1,0.536,47.1,59.4,8.8,0.496,20,304,0,0
Auburn,31,15,16,0.484,3.84,0.417,0.302,0.648,64.9,95.4,0.496,49.3,55.5,9.8,0.464,17.8,146,0,0
Austin Peay,32,12,20,0.375,-0.66,0.445,0.321,0.671,68.2,100.7,0.52,48.8,49,10.5,0.484,18.1,194,0,0
Ball State,30,15,15,0.5,-4.45,0.421,0.329,0.689,62.5,101.4,0.521,51,61.8,9.7,0.483,17.7,254,0,0
Baylor,38,30,8,0.789,8.03,0.467,0.383,0.754,67.1,111,0.566,54,56.8,11.2,0.528,17.4,8,1,0
Belmont,35,27,8,0.771,-1.22,0.481,0.378,0.734,68.7,116.9,0.591,51.8,62.2,10.5,0.558,15.4,60,1,1
Bethune-Cookman,35,18,17,0.514,-7.05,0.433,0.341,0.658,64.9,99.9,0.512,48.1,50.9,10.6,0.48,17.6,235,0,0
Binghamton,31,2,29,0.065,-6.24,0.397,0.302,0.699,65.1,86.9,0.48,47.4,55.2,9.2,0.439,20.3,344,0,0
Boise State,30,13,17,0.433,3.14,0.428,0.342,0.691,65.2,104.3,0.53,52.2,48.9,9.3,0.497,16.1,181,0,0
