School,G,W,L,W-L%,SOS,FG%,3P%,FT%,Pace,PP100 Poss.,TS%,TRB%,AST%,STL%,eFG%,TOV%,RPI,Tournament?,auto.bid
Oregon State,36,21,15,0.583,3.38,0.475,0.359,0.677,70.9,109.1,0.56,50.2,57,12.6,0.528,16.8,132,0,0
Oregon,34,24,10,0.706,4.72,0.469,0.374,0.709,67.9,109.5,0.567,51.2,54.9,8.8,0.534,16.6,52,0,0
Pacific,30,11,19,0.367,-2.61,0.405,0.321,0.688,63.2,98.7,0.506,46.9,58.4,8.1,0.468,16.4,289,0,0
Penn State,32,12,20,0.375,7.75,0.393,0.311,0.686,63.6,97.1,0.485,51.4,49.5,10.7,0.449,16.2,160,0,0
Pennsylvania,33,20,13,0.606,-0.1,0.443,0.374,0.729,63.2,101.7,0.543,47.5,58.3,11.4,0.512,17.5,105,0,0
Pepperdine,29,10,19,0.345,-0.23,0.396,0.317,0.659,62.9,93.9,0.48,52.3,59.4,7.4,0.443,18.2,273,0,0
Pittsburgh,39,22,17,0.564,5.89,0.453,0.349,0.699,62.6,109.9,0.54,54.9,60.4,7.5,0.51,16.7,88,0,0
Portland State,32,17,15,0.531,-4.07,0.483,0.348,0.737,68.6,110.6,0.577,52.3,43.7,7.7,0.536,17.1,185,0,0
Portland,31,7,24,0.226,3.82,0.428,0.32,0.718,68.2,95,0.514,49.7,50.9,6.8,0.475,19.9,244,0,0
Prairie View A&M,32,14,18,0.438,-10.29,0.393,0.312,0.541,71.1,88.5,0.454,51.5,45.8,11,0.436,18.9,294,0,0
Presbyterian College,29,14,15,0.483,-4.65,0.464,0.347,0.703,62,104.6,0.558,50,48.9,7.3,0.524,18.3,246,0,0
Princeton,32,20,12,0.625,-1,0.462,0.376,0.679,63.4,104,0.555,49.9,59.9,9.9,0.532,17.1,85,0,0
Providence,32,15,17,0.469,4.56,0.427,0.353,0.704,65.8,104.2,0.514,50.6,56.3,8,0.471,15.6,156,0,0
Purdue,35,22,13,0.629,8.05,0.44,0.377,0.656,64.6,111.2,0.536,49.3,52.9,10,0.511,11.6,43,1,0
Quinnipiac,32,18,14,0.563,-5.8,0.426,0.333,0.638,67.5,104.3,0.495,56.7,47.9,7.8,0.462,15.1,157,0,0
Radford,32,6,26,0.188,-3.34,0.384,0.307,0.637,66.8,91.6,0.469,47.4,49.2,10.9,0.44,17.7,328,0,0
Rhode Island,31,7,24,0.226,3.1,0.401,0.278,0.69,67.9,98.6,0.484,52.4,46,9.3,0.445,17.2,262,0,0
Rice,35,19,16,0.543,1.1,0.447,0.34,0.684,69,100.7,0.533,50.7,59.7,10.6,0.498,17.4,164,0,0
Richmond,32,16,16,0.5,2.9,0.428,0.358,0.763,64.7,106.2,0.549,45.8,54.8,9.3,0.501,15.6,131,0,0
Rider,32,13,19,0.406,-2.4,0.45,0.377,0.72,68.8,102.9,0.56,47.9,57.5,8.6,0.522,19.3,199,0,0
Robert Morris,37,26,11,0.703,-4.3,0.418,0.352,0.701,64.9,105.1,0.521,53.8,58.4,12.8,0.477,17.5,97,0,0
Rutgers,32,14,18,0.438,5.76,0.424,0.335,0.697,65.8,98.3,0.505,50.3,53.3,12.2,0.471,18.8,161,0,0
Sacramento State,28,10,18,0.357,-5.71,0.451,0.339,0.699,65.8,101.8,0.539,51.1,58.2,7.1,0.503,18.2,315,0,0
Sacred Heart,32,14,18,0.438,-5.56,0.46,0.369,0.745,68.3,102.6,0.556,50.2,55.3,9.5,0.519,19.5,238,0,0
Saint Francis (PA),29,6,23,0.207,-4.42,0.459,0.337,0.653,64.3,94.6,0.532,45.2,55.7,10.1,0.506,21.8,312,0,0
Saint Josephs,34,20,14,0.588,4.25,0.47,0.363,0.692,66.2,106.8,0.56,50.9,56.3,7.1,0.531,16.6,77,0,0
Saint Louis,34,26,8,0.765,4.06,0.449,0.359,0.72,63.2,108.4,0.55,51.2,56.4,11,0.515,15.4,28,1,0
