School,G,W,L,W-L%,SOS,FG%,3P%,FT%,Pace,PP100 Poss.,TS%,TRB%,AST%,STL%,eFG%,TOV%,RPI,Tournament?,Auto.bid
Southeast Missouri State,32,10,22,0.313,-5.4,0.436,0.341,0.62,67.5,97.3,0.515,49.8,53.2,6.7,0.484,18.6,306,0,0
Southeastern Louisiana,29,15,14,0.517,-5.4,0.437,0.343,0.721,67.4,103.5,0.533,49.3,58.9,9.2,0.493,17.1,226,0,0
USC,34,19,15,0.559,7.97,0.444,0.354,0.651,64.3,102.6,0.526,50.7,49.4,9.1,0.499,15.6,73,1,0
SIU Edwardsville,29,8,21,0.276,-3.67,0.422,0.334,0.669,70.2,90.8,0.514,44.4,57.8,8.1,0.484,21.3,329,0,0
Southern Illinois,32,13,19,0.406,1.48,0.427,0.321,0.692,63.7,95.1,0.51,51,52.8,8.7,0.471,19.4,204,0,0
SMU,35,20,15,0.571,-0.39,0.482,0.394,0.742,61.2,104.6,0.597,47.3,61.9,10,0.567,20.6,188,0,0
Southern Miss,32,22,10,0.688,1.9,0.453,0.368,0.73,66,111.8,0.544,55.4,46.1,8.4,0.5,14.9,66,0,0
Southern Utah,30,11,19,0.367,-3.44,0.468,0.342,0.709,68.2,101.5,0.543,53.8,57.5,7.9,0.499,20.2,270,0,0
Southern,30,4,26,0.133,-9.47,0.382,0.296,0.596,67.4,83.4,0.458,44.9,57.4,8.1,0.43,21.2,344,0,0
Saint Bonaventure,31,16,15,0.516,1.73,0.456,0.351,0.699,64.9,103,0.547,52.1,53.5,7.4,0.508,19.1,131,0,0
Saint Francis (NY),30,15,15,0.5,-5.85,0.399,0.311,0.662,67.7,98.6,0.499,47,51.9,11.5,0.461,16.8,212,0,0
Saint Johns,33,21,12,0.636,10.01,0.455,0.335,0.71,66.5,105.1,0.539,49.5,51.7,12.1,0.495,16.2,25,1,0
Stanford,31,15,16,0.484,5.17,0.431,0.356,0.658,65.8,100.4,0.521,51.2,49.9,7.3,0.49,17.5,151,0,0
Stephen F. Austin,29,18,11,0.621,-7.73,0.458,0.311,0.721,63.2,104.1,0.534,55.8,60.3,10.8,0.494,18.5,230,0,0
Stetson,31,8,23,0.258,-2.86,0.427,0.297,0.62,66.5,94.8,0.506,48.7,42.1,11.2,0.477,20.5,303,0,0
Stony Brook,32,15,17,0.469,-6.2,0.382,0.345,0.658,62.9,94.8,0.477,49.7,44.9,8.4,0.444,16.3,242,0,0
Syracuse,35,27,8,0.771,8.79,0.472,0.354,0.665,66,110.3,0.553,52.5,60.5,13.1,0.528,15.9,20,1,0
Temple,34,26,8,0.765,4.23,0.447,0.353,0.698,65.5,106.6,0.532,51.8,58.9,10.3,0.5,14.1,28,1,0
Tennessee-Martin,33,12,21,0.364,-5,0.423,0.326,0.74,69.8,97.2,0.52,47.6,46.6,9.5,0.472,19,295,0,0
Tennessee State,30,14,16,0.467,-4.73,0.426,0.369,0.762,66,102,0.542,49.7,55.2,9.8,0.494,19.5,237,0,0
Tennessee Tech,33,20,13,0.606,-5.77,0.478,0.348,0.663,71.5,103.2,0.549,53.6,51.9,11.7,0.519,19.5,194,0,0
Tennessee,34,19,15,0.559,8.73,0.431,0.3,0.684,67.1,103.3,0.515,52.6,52.9,10.9,0.476,16.6,41,1,0
Texas A&M-Corpus Christi,31,10,21,0.323,-2.09,0.432,0.298,0.644,66.4,93.6,0.511,50.8,51.2,9.6,0.478,22.3,282,0,0
Texas A&M,33,24,9,0.727,5.94,0.441,0.339,0.697,63.1,106.6,0.537,54.7,58.6,10.2,0.494,17.1,34,1,0
Texas-Arlington,29,13,16,0.448,-5.47,0.441,0.349,0.705,70.6,99.1,0.541,50.3,50.8,9.6,0.506,21.3,271,0,0
TCU,33,11,22,0.333,3.93,0.436,0.35,0.674,67.7,98.9,0.519,48.8,57.7,9.3,0.493,16.5,209,0,0
UTEP,35,25,10,0.714,2.47,0.466,0.364,0.67,67.6,103.3,0.549,48.3,61.3,9.9,0.518,16.4,63,0,0
Texas-Pan American,31,6,25,0.194,-6.41,0.424,0.384,0.677,68.9,98.6,0.535,47.7,54.7,8.3,0.498,19.5,343,0,0
Texas-San Antonio,34,20,14,0.588,-4.93,0.429,0.351,0.705,68.7,102,0.532,48.9,53.6,10.3,0.491,17.2,175,1,1
Texas Southern,32,19,13,0.594,-9.02,0.426,0.301,0.632,67.7,93.9,0.517,49.3,56.7,11.8,0.483,21.1,185,0,0
Texas State,32,16,16,0.5,-5.89,0.449,0.32,0.672,76,102.3,0.534,49.9,50.8,10.1,0.497,17.4,222,0,0
Texas Tech,32,13,19,0.406,6.18,0.445,0.365,0.729,70.4,103.2,0.535,48.5,51.7,8.4,0.493,17,168,0,0
Texas,36,28,8,0.778,7.96,0.455,0.376,0.654,67.8,110,0.534,54.3,50.8,8.4,0.502,14.5,11,1,0
Toledo,32,4,28,0.125,-0.88,0.408,0.32,0.628,64.1,89.6,0.496,47.2,61.7,8.4,0.462,21.6,338,0,0
Towson,30,4,26,0.133,-0.52,0.438,0.356,0.723,65.5,103.7,0.533,47.2,47.8,8.8,0.493,15.9,292,0,0
Troy,29,8,21,0.276,-2.05,0.408,0.343,0.662,71,98.2,0.506,48.9,53.9,9.1,0.479,16.9,266,0,0
Tulane,30,13,17,0.433,-0.68,0.43,0.364,0.688,65.4,104.4,0.533,48.9,56.9,10.6,0.5,16.1,235,0,0
Tulsa,32,19,13,0.594,3.25,0.439,0.349,0.701,66.2,104.8,0.542,54.1,48.5,6.6,0.501,17.7,84,0,0
UCLA,34,23,11,0.676,7.93,0.455,0.327,0.679,66.7,103.9,0.539,53.2,59.4,8.1,0.502,18.6,38,1,0
Utah State,34,30,4,0.882,0.5,0.47,0.367,0.737,64.1,111.6,0.569,55.7,59.5,7.4,0.527,15.9,18,1,0
Utah Valley,30,19,11,0.633,-9.97,0.442,0.361,0.758,69.4,107.1,0.554,54.3,55.9,7.1,0.501,16.9,251,0,0
Utah,31,13,18,0.419,6.56,0.426,0.332,0.694,68.2,98.3,0.515,49.5,40.6,6.7,0.478,17.5,123,0,1
Valparaiso,35,23,12,0.657,1.69,0.474,0.321,0.665,67.5,106.7,0.552,50.7,58.3,11.3,0.529,17.3,81,0,0
Vanderbilt,34,23,11,0.676,6.86,0.458,0.371,0.743,67.6,111.1,0.573,51.7,53.5,7.5,0.529,16.6,27,1,0
Vermont,32,23,9,0.719,-5.33,0.447,0.351,0.676,64.7,103,0.524,54.7,50.7,7.7,0.491,17.5,92,0,0
Villanova,33,21,12,0.636,8.23,0.438,0.348,0.757,65.7,109.6,0.546,53.2,56.5,9.6,0.495,15.3,44,1,0
Virginia Commonwealth,40,28,12,0.7,3.78,0.434,0.37,0.715,65.3,108.3,0.547,47,60.2,12.4,0.511,14.9,31,1,0
VMI,31,18,13,0.581,-5.45,0.449,0.359,0.709,78.5,111.5,0.563,47.2,49.4,11,0.533,14.6,201,0,0
Virginia Tech,34,22,12,0.647,6.29,0.452,0.33,0.71,65.6,106,0.543,51.3,51,9.9,0.503,16.1,65,0,0
Virginia,31,16,15,0.516,6.55,0.415,0.388,0.69,61.7,99.5,0.517,48.2,53,9.3,0.485,15.6,138,0,0
Wagner,30,13,17,0.433,-3.67,0.435,0.371,0.772,67.7,98.2,0.55,45.3,62.3,8.6,0.498,20.1,171,0,0
Wake Forest,32,8,24,0.25,5.51,0.423,0.359,0.746,70.7,95.1,0.524,46.2,49.3,7.5,0.476,19.6,256,0,0
Washington State,35,22,13,0.629,6.81,0.455,0.352,0.709,68.5,104.9,0.549,48.6,51.7,9.8,0.516,16.2,71,0,0
Washington,35,24,11,0.686,7.74,0.469,0.371,0.674,72,114.5,0.559,52.9,55.9,9.2,0.537,14.2,30,1,1
Weber State,32,18,14,0.563,-1.74,0.449,0.408,0.756,65.9,106,0.563,50.7,52.3,8.4,0.524,17.1,162,0,0
West Virginia,33,21,12,0.636,11.03,0.429,0.337,0.711,64,109,0.528,52.4,62.7,7.3,0.485,15.6,21,1,0
Western Carolina,33,18,15,0.545,-2.86,0.43,0.333,0.651,69.5,100.1,0.505,50.3,50.4,13,0.478,16.6,172,0,0
Western Illinois,30,7,23,0.233,-4.43,0.413,0.35,0.661,63,91,0.504,46.4,52.6,8.1,0.469,19.2,336,0,0
Western Kentucky,32,16,16,0.5,-3.15,0.436,0.312,0.642,68.9,100.9,0.513,50.2,48.5,8.3,0.484,18,199,0,0
Western Michigan,34,21,13,0.618,-2.52,0.443,0.349,0.699,67.7,104.9,0.528,52.8,50.5,8.6,0.493,16.9,179,0,0
Wichita State,37,29,8,0.784,1.79,0.468,0.355,0.746,64.4,111.4,0.568,56.3,60,8.8,0.532,16.4,35,0,0
William & Mary,32,10,22,0.313,0.49,0.443,0.363,0.698,63.5,100.6,0.553,48.9,60.8,6.6,0.521,18.7,227,0,0
Winthrop,30,13,17,0.433,-3.2,0.415,0.307,0.643,67,96.1,0.485,50.4,49,10.9,0.452,16.4,220,0,0
Wisconsin,34,25,9,0.735,9.42,0.441,0.374,0.818,57.3,117.7,0.56,51.9,55.4,6.2,0.518,11.2,16,1,0
Wofford,34,21,13,0.618,-1.21,0.477,0.4,0.693,64.6,111.3,0.563,50.8,55.2,10.1,0.53,15.5,105,1,1
Wright State,33,19,14,0.576,1.45,0.431,0.357,0.749,62.2,103.4,0.543,46.6,47.5,10,0.497,15.5,126,0,0
Wyoming,31,10,21,0.323,3.53,0.431,0.282,0.673,68.1,96.9,0.514,47.6,45,11,0.477,18.1,268,0,0
Xavier,32,24,8,0.75,4.41,0.461,0.329,0.747,65.3,108.7,0.56,53.3,54.1,8.2,0.512,16,26,1,0
Yale,28,15,13,0.536,-2.72,0.441,0.343,0.735,66.6,100.5,0.541,50.2,54.3,7,0.497,17.9,160,0,0
Youngstown State,30,9,21,0.3,0.93,0.415,0.332,0.61,69.6,98,0.499,46.4,60.1,8.8,0.479,14.9,291,0,0
