School,G,W,L,W-L%,SOS,FG%,3P%,FT%,Pace,PP100 Poss.,TS%,TRB%,AST%,STL%,eFG%,TOV%,RPI,Tournament?,Auto.bid
Loyola-Chicago,31,16,15,0.516,-1.1,0.428,0.362,0.737,65.6,105.4,0.529,51.5,51.7,9.1,0.485,16.4,197,0,0
Loyola-Marymount,32,11,21,0.344,0.27,0.432,0.322,0.694,68.8,100.9,0.512,51.8,54,9.6,0.472,17.1,257,0,0
Loyola-Maryland,30,15,15,0.5,-3.68,0.417,0.339,0.706,66.1,101.6,0.511,52.1,50.9,9.8,0.47,16.8,181,0,0
Maine,30,15,15,0.5,-5.84,0.461,0.354,0.699,64.7,106.4,0.556,50.4,54.5,8.6,0.521,17.2,218,0,0
Manhattan,31,6,25,0.194,-2.01,0.403,0.299,0.699,63.8,93.4,0.478,48.2,44.3,10,0.437,17.9,296,0,0
Marist,33,6,27,0.182,-1.46,0.382,0.311,0.712,66.5,90.2,0.487,47.1,47.9,7.6,0.441,19.3,305,0,0
Marquette,37,22,15,0.595,8.51,0.465,0.349,0.696,68,110.2,0.549,51.7,59,10.5,0.51,15.4,50,1,0
Marshall,34,22,12,0.647,1.94,0.453,0.322,0.679,68,107.7,0.541,53.3,51.4,7.2,0.502,16.6,72,0,0
Maryland-Baltimore County,30,5,25,0.167,-4.27,0.401,0.331,0.707,67.1,94.2,0.487,46.4,49.4,8.7,0.453,16.8,322,0,0
Maryland Eastern Shore,31,9,22,0.29,-7.42,0.406,0.29,0.653,70.4,94.5,0.484,47,50.8,9.2,0.45,17.3,323,0,0
Maryland,33,19,14,0.576,5.76,0.471,0.348,0.677,71.8,107,0.541,52.6,59.8,9.4,0.509,16.3,97,0,0
Massachusetts,30,15,15,0.5,1.93,0.401,0.29,0.662,68.4,96.5,0.485,50.7,48.3,9.3,0.448,16.9,158,0,0
McNeese State,33,21,12,0.636,-4.39,0.436,0.353,0.745,68.2,107.5,0.541,49.1,44.5,9.4,0.496,15.3,164,0,0
Memphis,35,25,10,0.714,3.14,0.451,0.329,0.68,69.1,103.2,0.538,50.6,57.5,12.1,0.504,18.7,32,1,1
Mercer,33,15,18,0.455,-2.17,0.418,0.33,0.69,67.7,98.2,0.521,48.3,53.5,10.7,0.478,18.2,221,0,0
Miami,36,21,15,0.583,6.42,0.446,0.377,0.725,65.8,108,0.557,52.7,47.7,8.5,0.518,17.9,69,0,0
Miami-Ohio,33,16,17,0.485,3.04,0.431,0.349,0.728,63.9,101.2,0.542,49,50.1,7.5,0.504,18.9,119,0,0
Michigan State,34,19,15,0.559,11.67,0.431,0.355,0.7,66,103.1,0.526,52.9,62.3,9.7,0.489,17.1,54,1,0
Michigan,35,21,14,0.6,10.68,0.448,0.352,0.699,62.1,106.3,0.547,49.5,56.7,7.7,0.523,14.3,51,1,0
Middle Tennessee,32,16,16,0.5,-4.45,0.426,0.341,0.71,67.3,101,0.526,51.7,46.2,12.6,0.475,18.9,217,0,0
Wisconsin-Milwaukee,33,19,14,0.576,2.51,0.431,0.352,0.655,66.3,102.3,0.534,50.2,55.9,7.4,0.502,18,94,0,0
Minnesota,31,17,14,0.548,9.79,0.454,0.321,0.66,65.2,105.7,0.533,53.6,64.7,10.4,0.499,17.3,86,0,0
Mississippi State,31,17,14,0.548,3.77,0.434,0.362,0.723,67.6,102.8,0.544,49.5,53.2,7.7,0.507,17.3,121,0,0
Mississippi Valley State,32,13,19,0.406,-7.48,0.405,0.324,0.665,73.5,92.3,0.498,50.1,52.3,9.6,0.46,20.4,249,0,0
Ole Miss,34,20,14,0.588,3.92,0.442,0.351,0.756,67.5,109.1,0.549,51.8,47.8,7.8,0.508,16.1,85,0,0
Missouri-Kansas City,30,16,14,0.533,-4.46,0.436,0.347,0.662,66.5,102.7,0.538,48.7,45.2,9.1,0.507,17.9,211,0,0
Missouri State,35,26,9,0.743,1.35,0.453,0.376,0.73,62.3,112.1,0.557,52.7,55.1,7.8,0.518,14.3,39,0,0
Missouri,34,23,11,0.676,6.5,0.458,0.366,0.739,72.5,110.3,0.552,48.6,56.8,13.2,0.515,14.9,47,1,0
Monmouth,30,9,21,0.3,-4.4,0.407,0.325,0.639,63.9,93.3,0.497,49,59.5,10.4,0.465,19.5,287,0,0
Montana State,31,13,18,0.419,-3.22,0.414,0.333,0.647,65.6,101.8,0.511,48.5,52.2,8.8,0.482,15.7,264,0,0
Montana,32,21,11,0.656,-2.47,0.462,0.312,0.668,64.2,104,0.54,51.2,55,10.6,0.507,17,122,0,0
Morehead State,35,25,10,0.714,-3.13,0.454,0.339,0.674,64.3,106.2,0.541,56.9,49.8,13.2,0.509,19.2,76,1,1
Morgan State,31,17,14,0.548,-7.72,0.42,0.296,0.681,68.2,97.5,0.502,52.6,52.5,9.1,0.456,18.8,208,0,0
Mount Saint Marys,32,11,21,0.344,-3.47,0.419,0.325,0.68,65.3,92.1,0.502,47.1,54.9,8.9,0.464,19.9,231,0,0
Murray State,32,23,9,0.719,-4.85,0.459,0.379,0.699,64.4,106.6,0.558,51.8,58.8,11.8,0.519,18.8,116,0,0
Navy,31,11,20,0.355,-5.56,0.393,0.294,0.709,73.1,92.1,0.505,43.6,55.8,12.4,0.46,18.6,299,0,0
Nebraska,32,19,13,0.594,4.67,0.461,0.314,0.702,64.7,102.1,0.543,52.7,53.7,10,0.51,18.2,87,0,0
UNLV,33,24,9,0.727,6,0.459,0.33,0.689,67.3,106.1,0.543,51,60.5,12,0.509,16.1,29,1,0
Nevada,32,13,19,0.406,1.88,0.423,0.347,0.686,68.6,101.4,0.523,51,47.3,7,0.481,17.8,198,0,0
New Hampshire,30,12,18,0.4,-6.32,0.374,0.29,0.613,62.2,92.5,0.462,49.1,47.9,7.1,0.433,16.1,273,0,0
New Mexico State,33,16,17,0.485,2.66,0.446,0.332,0.676,69.1,102.1,0.538,50.4,51.7,9.3,0.497,18.3,144,0,0
New Mexico,35,22,13,0.629,4.9,0.457,0.346,0.712,66.7,108.1,0.555,54.4,61,8.9,0.516,17.1,70,0,0
Niagara,32,9,23,0.281,-3.02,0.372,0.275,0.66,68.6,89.5,0.464,44.6,50.5,11.7,0.421,17.7,288,0,0
Nicholls State,28,14,14,0.5,-4.52,0.443,0.335,0.687,63.5,102.3,0.542,47,62.3,12.4,0.509,17.6,239,0,0
New Jersey Tech,30,15,15,0.5,-9.64,0.428,0.364,0.618,68.9,99.1,0.514,50.2,52.5,8.6,0.493,17,315,0,0
Norfolk State,32,12,20,0.375,-7.45,0.437,0.307,0.678,70.1,98.2,0.523,49.7,52.7,9,0.486,19.6,269,0,0
UNC Asheville,34,20,14,0.588,-2.89,0.452,0.326,0.711,70.1,102.9,0.537,49.3,55.8,12.7,0.495,18,141,1,1
North Carolina A&T,32,15,17,0.469,-6.26,0.431,0.325,0.665,69.8,100.1,0.524,47.9,49.4,9.1,0.488,18.2,232,0,0
North Carolina Central,30,15,15,0.5,-8.03,0.45,0.354,0.69,67.7,100.3,0.544,48.1,48.9,11.4,0.512,19.9,275,0,0
UNC Greensboro,31,7,24,0.226,-0.37,0.429,0.356,0.69,71.4,98.4,0.516,48.2,45.3,9.1,0.48,18.3,294,0,0
North Carolina State,31,15,16,0.484,6.8,0.439,0.329,0.694,67.8,104.2,0.515,50.4,55.3,9.1,0.478,15.2,125,0,0
UNC Wilmington,31,13,18,0.419,-0.44,0.434,0.369,0.689,61.7,101.3,0.528,48.6,49,8.7,0.501,18.6,219,0,0
North Carolina,37,29,8,0.784,10.15,0.451,0.328,0.672,72.6,106.5,0.524,54,54.9,8.6,0.492,15.4,7,1,0
North Dakota State,29,14,15,0.483,-3.5,0.471,0.382,0.693,68.5,108.6,0.555,52.6,50.9,8.4,0.521,16.4,240,0,0
North Dakota,34,19,15,0.559,-8.7,0.427,0.342,0.679,67.8,98,0.525,50.3,53.9,8.8,0.485,18,272,0,0
North Florida,34,15,19,0.441,0.31,0.435,0.33,0.661,67.5,94.8,0.528,46.1,53.3,8.6,0.494,21.6,152,0,0
North Texas,33,22,11,0.667,-5.07,0.479,0.378,0.75,68.8,110.4,0.582,52.1,49,6.1,0.531,17.1,137,0,0
Northeastern,31,11,20,0.355,1.17,0.447,0.379,0.75,63,104.9,0.548,46.9,59.4,10.7,0.507,17.2,177,0,0
Northern Arizona,32,19,13,0.594,-3.72,0.487,0.423,0.664,65.8,108.3,0.567,50.5,64.2,9.5,0.545,17.2,161,0,0
Northern Colorado,32,21,11,0.656,-2.24,0.428,0.387,0.77,66.8,107,0.555,53.6,50.8,8.9,0.502,18.2,98,1,1
Northern Illinois,30,9,21,0.3,-2.26,0.421,0.324,0.697,69.3,98,0.513,50.6,50.6,8,0.472,17.8,319,0,0
Northern Iowa,34,20,14,0.588,2.04,0.428,0.344,0.762,59.9,106.4,0.545,49,49.3,8.4,0.501,13.8,109,0,0
Northwestern State,32,18,14,0.563,-7.02,0.443,0.345,0.637,74.2,102,0.532,47.7,51.2,12.1,0.499,19.2,238,0,0
Northwestern,34,20,14,0.588,7.54,0.45,0.372,0.73,63.5,111.9,0.563,47.6,66.6,10.4,0.534,13.5,80,0,0
Notre Dame,34,27,7,0.794,8.43,0.46,0.386,0.724,64.3,115.3,0.575,53.2,66.8,7,0.535,14.2,10,1,0
Oakland,35,25,10,0.714,0.1,0.492,0.374,0.721,72.4,117.6,0.591,53.4,54,8.5,0.559,15.9,57,1,1
Ohio State,37,34,3,0.919,8.38,0.494,0.423,0.701,64.1,120,0.589,53.8,57.7,11.1,0.563,13.5,2,1,1
Ohio,35,19,16,0.543,-1.01,0.435,0.354,0.718,68,105.3,0.537,50.3,59.5,11.2,0.498,16.4,148,0,0
Oklahoma State,34,20,14,0.588,6.94,0.436,0.295,0.725,66.1,101.7,0.526,51.4,42.7,10,0.475,17.3,58,0,0
Oklahoma,32,14,18,0.438,6.42,0.448,0.337,0.738,65,100.7,0.547,48,54.2,8.5,0.508,18.5,132,0,0
Old Dominion,34,27,7,0.794,1.76,0.439,0.329,0.668,60.7,108.1,0.518,58.6,60.4,11.3,0.485,16.6,23,1,1
Oral Roberts,35,19,16,0.543,-1.17,0.474,0.366,0.717,67.2,110.5,0.561,50.6,48.2,8.2,0.524,16.4,135,0,0
Oregon State,31,11,20,0.355,5.03,0.427,0.304,0.681,70,98.9,0.515,49.8,50.7,13.5,0.473,18.7,210,0,0
Oregon,39,21,18,0.538,6.92,0.425,0.339,0.739,68.3,102.4,0.522,48.5,56.1,12,0.485,15.5,117,0,0
Pacific,31,16,15,0.516,-0.88,0.439,0.356,0.703,61.5,106.1,0.545,51.7,61.8,7.3,0.512,16.1,190,0,0
Penn State,34,19,15,0.559,11.45,0.439,0.339,0.724,59.8,105.5,0.534,51,53.8,7.4,0.501,15.2,48,1,0
Pennsylvania,28,13,15,0.464,-1.64,0.454,0.369,0.737,63.8,101.9,0.559,48.6,58.7,9.3,0.52,19,176,0,0
Pepperdine,33,12,21,0.364,1.43,0.424,0.327,0.718,67.5,101.9,0.518,51.5,52.9,8.6,0.472,16.8,236,0,0
Pittsburgh,34,28,6,0.824,7.85,0.475,0.395,0.671,63.3,116.3,0.559,57.8,67.2,7.4,0.529,15.1,12,1,0
Portland State,30,14,16,0.467,-4.47,0.439,0.352,0.726,68.9,105,0.541,47.5,52.3,8.8,0.501,15.9,276,0,0
Portland,32,20,12,0.625,2.2,0.457,0.412,0.744,64.8,108.8,0.562,52.7,55.9,8.2,0.527,17.1,103,0,0
Prairie View A&M,32,10,22,0.313,-8.77,0.382,0.301,0.576,69.3,89.7,0.456,48.6,49.9,9.5,0.434,17.9,333,0,0
Presbyterian College,31,13,18,0.419,-2.85,0.444,0.39,0.727,61.3,99.2,0.547,47.4,54.1,6.5,0.515,19.8,207,0,0
Princeton,32,25,7,0.781,-1.61,0.465,0.363,0.732,63.4,107.1,0.558,53.1,54.2,9.2,0.522,16.5,45,1,1
Providence,32,15,17,0.469,6.44,0.424,0.315,0.669,72.1,104.8,0.512,50.5,46.7,10.8,0.477,14.8,157,0,0
Purdue,34,26,8,0.765,8.69,0.447,0.364,0.715,66,109.5,0.542,51.4,61.5,9.4,0.507,13.6,14,1,0
Quinnipiac,32,22,10,0.688,-6.39,0.428,0.344,0.611,68.7,104.3,0.497,56.1,58.8,7.3,0.472,14.9,146,0,0
Radford,29,5,24,0.172,-2.52,0.383,0.297,0.626,68.1,87,0.465,47.8,49.2,11.5,0.426,20.5,334,0,0
