School,G,W,L,W-L%,SOS,FG%,3P%,FT%,Pace,PP100 Poss.,TS%,TRB%,AST%,STL%,eFG%,TOV%,RPI
Baylor,37,23,14,0.622,7.13,0.46,0.353,0.691,68.5,110.3,0.55,51.7,58.5,9.5,0.519,14.8,55
Belmont,33,26,7,0.788,-0.96,0.491,0.383,0.732,68.1,112.3,0.594,48.8,57,14.3,0.567,17.3,24
Bethune-Cookman,34,14,20,0.412,-6.44,0.416,0.306,0.624,67.2,99.1,0.494,49,53.9,10.7,0.465,15.5,281
Binghamton,30,3,27,0.1,-3.7,0.372,0.286,0.645,66.2,84.4,0.457,48.3,42,8.7,0.422,20.3,338
Boise State,32,21,11,0.656,5.27,0.46,0.391,0.747,66.3,109.9,0.565,53.4,51.3,9.9,0.53,15.8,50
Boston College,33,16,17,0.485,7.03,0.441,0.353,0.712,64,104.4,0.548,49.1,53.9,8.7,0.51,15.8,112
Boston University,30,17,13,0.567,-3.93,0.449,0.37,0.727,65.4,102.8,0.549,47.9,55.2,11.3,0.522,16.9,155
Bowling Green,32,13,19,0.406,-1.75,0.419,0.306,0.715,63.9,96.7,0.496,49.7,51.1,11.4,0.464,17,275
Bradley,35,18,17,0.514,1.97,0.437,0.319,0.723,66.1,101.7,0.517,48.6,50.1,13.6,0.483,15.5,179
BYU,36,24,12,0.667,3.75,0.457,0.338,0.728,71.1,108.5,0.543,52.6,57.6,11.4,0.505,14.6,58
Brown,28,13,15,0.464,-3.03,0.409,0.345,0.631,63.7,95.9,0.504,51.9,57.2,10.2,0.478,18.8,240
Bryant,31,19,12,0.613,-4.72,0.48,0.356,0.722,67,110.1,0.576,51.2,57.9,7.6,0.544,16.9,167
Bucknell,34,28,6,0.824,-1.96,0.453,0.358,0.742,62.6,107,0.538,54.1,55.6,5.5,0.496,13.3,53
Buffalo,34,14,20,0.412,-0.35,0.449,0.347,0.703,64.9,102.2,0.545,52.8,64.2,8.4,0.51,20.3,218
Butler,36,27,9,0.75,6.08,0.45,0.347,0.696,64.9,106.4,0.546,55.5,53.5,8.8,0.512,17.3,21
Cal Poly,32,18,14,0.563,-0.62,0.424,0.375,0.725,60,107.1,0.528,50.7,61.3,9.5,0.491,13.4,163
Cal State Bakersfield,30,14,16,0.467,-2.17,0.418,0.337,0.7,67.7,98.9,0.515,50.1,53.5,10.7,0.477,17.8,234
Cal State Fullerton,32,14,18,0.438,-3.03,0.47,0.378,0.758,70.2,109.1,0.579,45.2,55.2,11,0.543,16.1,270
Cal State Northridge,31,14,17,0.452,-1.93,0.436,0.336,0.733,71.6,105.2,0.525,52,57.9,11.8,0.479,16.1,241
UC Davis,31,14,17,0.452,-2.57,0.473,0.405,0.719,67.3,105.5,0.579,49.5,58.6,6.9,0.551,18.7,235
UC Irvine,37,21,16,0.568,-0.66,0.433,0.334,0.665,67,102.1,0.518,51.2,62.2,7.2,0.491,15.9,136
UC Riverside,31,6,25,0.194,-1.71,0.417,0.289,0.583,64.5,91.1,0.481,52.2,55.5,9.6,0.461,19.4,339
UC Santa Barbara,31,11,20,0.355,0.4,0.419,0.346,0.692,64.2,99.4,0.523,50.5,65,8.2,0.493,19.1,244
California,33,21,12,0.636,7.77,0.444,0.302,0.715,66.5,100.7,0.515,52,56.2,8.7,0.48,16.4,52
Campbell,33,13,20,0.394,-5.55,0.445,0.307,0.709,67.7,100,0.516,48.6,53.9,10.9,0.48,17.2,288
Canisius,34,20,14,0.588,-0.99,0.446,0.386,0.716,66.8,109.2,0.559,50.8,50.4,8.7,0.527,16.9,114
Central Arkansas,30,13,17,0.433,-6.12,0.435,0.352,0.632,73.2,102,0.511,48.4,49.4,10.5,0.49,16.3,287
Central Connecticut,30,13,17,0.433,-4.04,0.428,0.352,0.732,70.7,101.4,0.522,45.9,48.2,10.4,0.486,15.4,200
UCF,31,20,11,0.645,0.96,0.453,0.357,0.644,66.5,105.5,0.544,51.7,56.1,11.2,0.518,17.6,101
Central Michigan,31,11,20,0.355,-1.21,0.409,0.332,0.731,65.5,102.2,0.529,47.7,59.4,10.2,0.484,17.1,260
Charleston Southern,32,19,13,0.594,-5.62,0.422,0.36,0.707,68.1,107.5,0.531,52.7,48.3,10.7,0.499,15.2,189
Charlotte,33,21,12,0.636,2.75,0.44,0.268,0.654,68.2,98.3,0.509,53,48.8,10.8,0.471,18.9,81
Chattanooga,32,13,19,0.406,-4.97,0.418,0.298,0.665,68.8,99.9,0.504,53.2,50,9.9,0.464,17.1,292
Chicago State,33,11,22,0.333,-4.91,0.4,0.334,0.727,68.2,93.8,0.492,47.6,52.2,13.6,0.459,18.2,321
Cincinnati,34,22,12,0.647,6.93,0.403,0.316,0.647,64.9,101.4,0.493,54.3,52.5,10.8,0.462,16,49
Clemson,31,13,18,0.419,4.44,0.424,0.317,0.654,62.2,98.9,0.501,50.1,47.9,10.8,0.472,15.9,187
Cleveland State,32,14,18,0.438,-0.16,0.423,0.343,0.708,65.4,97.6,0.516,48.9,53.1,11.1,0.482,18.7,203
Coastal Carolina,29,14,15,0.483,-5.22,0.439,0.31,0.656,65.6,101.6,0.51,54.1,43.1,13.1,0.479,17.9,266
Colgate,32,11,21,0.344,-2.58,0.418,0.342,0.707,66.4,95.4,0.511,50,56.1,6.9,0.48,17.6,258
College of Charleston,35,24,11,0.686,-3.86,0.441,0.347,0.686,63.8,102.9,0.533,53.9,48.8,6.7,0.499,18,145
Colorado State,35,26,9,0.743,5.89,0.449,0.338,0.715,64.6,112.6,0.539,58.7,50.5,7.1,0.495,14.3,20
Colorado,33,21,12,0.636,7.95,0.433,0.344,0.686,65.6,101.4,0.522,52.3,42.3,10.5,0.483,17.2,43
Columbia,28,12,16,0.429,-3.48,0.421,0.347,0.745,61.3,101.7,0.525,50.8,55.8,10,0.484,15.7,272
Connecticut,30,20,10,0.667,7.42,0.442,0.34,0.743,64.9,103.8,0.542,47.5,56.4,11.1,0.5,16.1,47
Coppin State,32,8,24,0.25,-4.2,0.366,0.316,0.696,69.3,90.3,0.47,44.3,47.7,11.1,0.431,18.1,311
Cornell,31,13,18,0.419,-2.37,0.424,0.342,0.704,67.2,98,0.516,49.1,49.7,10.1,0.484,17.4,246
Creighton,36,28,8,0.778,5.16,0.501,0.414,0.759,65,114.5,0.612,53.5,64.6,7.4,0.582,17,22
Dartmouth,28,9,19,0.321,-3.17,0.408,0.337,0.729,64.1,95.3,0.504,48.3,49.7,10.8,0.462,18.3,294
Davidson,34,26,8,0.765,-3.45,0.462,0.369,0.795,64.8,112.7,0.58,51.5,56.5,8.6,0.532,14.9,65
Dayton,31,17,14,0.548,4.27,0.475,0.384,0.717,66.4,107.3,0.565,53,55.1,8.3,0.53,18.8,115
Delaware State,33,15,18,0.455,-5.9,0.41,0.295,0.69,62.2,95.4,0.498,48,46,10.9,0.462,18.6,265
Delaware,33,19,14,0.576,-0.81,0.423,0.309,0.754,66.6,101.9,0.518,51.3,41.1,8,0.463,16.1,141
Denver,32,22,10,0.688,0.26,0.48,0.375,0.719,59.7,108.2,0.587,44.7,69.8,15,0.562,16.9,63
DePaul,32,11,21,0.344,5.61,0.434,0.299,0.704,71.4,98.8,0.509,47.3,51.9,11.5,0.474,17.1,204
Detroit,33,20,13,0.606,1.62,0.456,0.342,0.729,70.1,111,0.551,49.4,53,11.8,0.515,13.5,71
Drake,32,15,17,0.469,5.14,0.447,0.388,0.717,68.5,103.6,0.562,47.9,55.9,8.3,0.528,17.9,140
Drexel,31,13,18,0.419,-0.98,0.412,0.335,0.745,61.4,100.6,0.51,52.8,53.4,8.1,0.467,16.2,206
Duke,36,30,6,0.833,9.54,0.472,0.399,0.739,68.2,113.1,0.576,49.2,53.6,9.4,0.539,13.8,1
Duquesne,30,8,22,0.267,3.5,0.409,0.338,0.644,69.4,96.7,0.505,48.6,53.6,7.4,0.479,18,231
East Carolina,35,23,12,0.657,0.81,0.452,0.349,0.716,70,108.2,0.555,48.8,65.4,11.3,0.519,15.7,67
East Tennessee State,32,10,22,0.313,-2.25,0.404,0.327,0.668,66.1,93.8,0.495,45.6,45.6,9.6,0.464,17.5,271
Eastern Illinois,32,11,21,0.344,-5.09,0.437,0.35,0.664,60.7,99.1,0.526,49.6,60.8,10.6,0.497,18.5,276
Eastern Kentucky,35,25,10,0.714,-3.92,0.467,0.355,0.781,65.6,111.8,0.585,45.3,58.8,13.4,0.547,15.9,69
Eastern Michigan,34,16,18,0.471,-1.25,0.401,0.33,0.67,61,92.5,0.48,49.2,51.9,12.9,0.448,19.2,237
Eastern Washington,31,10,21,0.323,-5.48,0.415,0.341,0.655,68.4,99.6,0.514,47.3,55.1,7.6,0.488,16.8,319
Elon,33,21,12,0.636,-5.19,0.432,0.344,0.713,66.7,102.1,0.531,49,54.9,9.8,0.501,15.4,181
Evansville,36,21,15,0.583,2.91,0.438,0.366,0.741,65.7,104.2,0.526,49.8,63.8,8.9,0.488,14.7,90
Fairfield,35,19,16,0.543,-2,0.423,0.316,0.685,62,97,0.506,50.6,57.1,11.3,0.477,18.5,175
Fairleigh Dickinson,31,7,24,0.226,-4.65,0.432,0.35,0.671,69.1,94.1,0.52,44.3,55.8,8.3,0.489,20.1,300
