School,G,W,L,W-L%,SOS,FG%,3P%,FT%,Pace,PP100 Poss.,TS%,TRB%,AST%,STL%,eFG%,TOV%,RPI
Purdue,34,16,18,0.471,7.87,0.426,0.32,0.653,65.7,100.1,0.494,53.6,55.8,7.5,0.463,15.9,127
Quinnipiac,31,15,16,0.484,-4.91,0.428,0.335,0.673,67.6,104.1,0.505,57,49.3,6,0.465,16.6,194
Radford,32,13,19,0.406,-7.32,0.397,0.314,0.648,68.4,96.1,0.483,49.7,50.9,12.3,0.449,16.5,316
Rhode Island,29,8,21,0.276,4.95,0.4,0.322,0.671,63.2,95.8,0.496,46,51.3,8.6,0.46,16.4,202
Rice,31,5,26,0.161,0.01,0.397,0.329,0.726,63.8,94.5,0.505,40.6,54.5,10.3,0.468,15.8,323
Richmond,34,19,15,0.559,3.43,0.444,0.378,0.722,64.3,107,0.565,45.5,56.2,11.1,0.525,16.6,91
Rider,34,19,15,0.559,-1.66,0.432,0.345,0.678,65.9,96.6,0.526,50.1,46,10.1,0.491,20.5,139
Robert Morris,35,24,11,0.686,-4.9,0.431,0.381,0.749,66.3,106.5,0.552,48.5,59.5,13.4,0.51,16.8,120
Rutgers,31,15,16,0.484,6.77,0.442,0.357,0.699,64.7,101.1,0.52,50.9,52.2,10.8,0.487,18.2,110
Sacramento State,29,14,15,0.483,-6.77,0.414,0.338,0.728,63.7,101.5,0.512,49.3,55.9,8.2,0.466,15.2,283
Sacred Heart,29,9,20,0.31,-3.69,0.44,0.352,0.722,68.9,101.1,0.533,49,53.2,9,0.498,18.9,251
Saint Francis (PA),29,5,24,0.172,-4.37,0.415,0.348,0.687,64.4,94.9,0.514,45.9,57.5,8.5,0.482,19.4,324
Saint Josephs,32,18,14,0.563,4.03,0.438,0.342,0.696,63.2,105.5,0.539,50.3,60.3,8.1,0.506,16.2,100
Saint Louis,35,28,7,0.8,4.28,0.446,0.34,0.704,64.7,104.8,0.545,49.8,56.1,11.7,0.504,15.6,17
Saint Marys College,35,28,7,0.8,3.31,0.469,0.375,0.725,64.5,115.2,0.573,56.4,55.2,9.4,0.54,15.6,25
Saint Peters,30,9,21,0.3,-2.92,0.413,0.336,0.592,64.1,92.2,0.479,47.6,50.4,10.8,0.458,17.3,289
Sam Houston State,34,17,17,0.5,-5.16,0.386,0.33,0.656,65.3,96.3,0.481,52.3,63.8,10.6,0.444,16.8,223
Samford,32,11,21,0.344,-4.38,0.444,0.361,0.661,61.2,98,0.532,46.2,56.5,10.3,0.507,18.8,291
San Diego State,34,23,11,0.676,6.19,0.438,0.327,0.683,66.6,103.7,0.524,52.6,50.7,10.3,0.491,15.6,35
San Diego,34,16,18,0.471,2.6,0.435,0.349,0.676,64.6,100,0.525,48.8,50.1,9.3,0.492,18,158
San Francisco,31,15,16,0.484,2.83,0.453,0.401,0.667,66.7,104,0.553,48.2,50.5,8.1,0.528,16.2,161
San Jose State,29,9,20,0.31,-0.92,0.377,0.3,0.656,68,91.1,0.461,50,50.4,8.8,0.421,17.2,259
Santa Clara,38,26,12,0.684,1.72,0.442,0.361,0.727,68.1,108.6,0.549,49.9,57.7,11.6,0.511,15.5,68
Savannah State,34,19,15,0.559,-4.73,0.42,0.294,0.618,63.2,88.5,0.487,51.6,49,14.1,0.459,23,168
Seattle University,30,8,22,0.267,-1.05,0.419,0.325,0.625,70.1,92.4,0.494,53.6,57.2,10.9,0.471,21.7,303
Seton Hall,33,15,18,0.455,5.96,0.437,0.367,0.658,65,98.9,0.538,49.8,62,10.4,0.513,20.8,133
Siena,32,8,24,0.25,-1.87,0.404,0.337,0.672,64.2,92.8,0.499,49.7,50.2,8.7,0.461,20.5,295
South Alabama,30,17,13,0.567,-2.96,0.41,0.324,0.717,69,98.6,0.513,51.8,47.4,9.5,0.462,19.3,160
South Carolina State,30,6,24,0.2,-5.1,0.392,0.282,0.647,65.9,90.4,0.461,49.1,53.5,9,0.431,18.8,340
South Carolina Upstate,33,16,17,0.485,-4.79,0.445,0.347,0.65,66.9,104.5,0.526,52.8,60.9,10.5,0.501,17,215
South Carolina,32,14,18,0.438,2.11,0.412,0.321,0.688,66.3,98.1,0.503,52.1,52.8,7.6,0.466,19.1,228
South Dakota State,35,25,10,0.714,-3.27,0.47,0.389,0.762,64,113.1,0.574,53.1,55.6,7.7,0.539,14.2,70
South Dakota,30,10,20,0.333,-2.92,0.449,0.371,0.781,67.2,104.9,0.559,47.3,52,9.1,0.513,16.3,243
South Florida,31,12,19,0.387,7.7,0.389,0.313,0.694,60.1,95.5,0.48,47.5,54.3,10.1,0.446,15.2,150
Southeast Missouri State,33,17,16,0.515,-6.06,0.469,0.398,0.7,69.2,106.6,0.564,50.1,59.3,7.5,0.537,16.5,217
Southeastern Louisiana,31,13,18,0.419,-3.76,0.409,0.357,0.662,66.4,95.1,0.498,47.6,43.9,7.1,0.464,16.9,227
USC,32,14,18,0.438,8.25,0.426,0.342,0.693,67.1,96.4,0.504,50,51.8,8.3,0.472,17.1,122
SIU Edwardsville,27,9,18,0.333,-4.67,0.426,0.363,0.669,66.3,94.9,0.513,48.3,55.8,8.3,0.482,19.1,305
Southern Illinois,31,14,17,0.452,2.28,0.446,0.32,0.642,63.2,99.8,0.514,48.7,43.8,12.7,0.488,16.6,188
SMU,32,15,17,0.469,-1.33,0.449,0.345,0.745,63.8,100.7,0.532,52,52.5,10.7,0.484,19.4,213
Southern Miss,37,27,10,0.73,1.49,0.479,0.38,0.694,66.2,109.7,0.566,54.2,55.9,14.3,0.538,18.6,27
Southern Utah,31,11,20,0.355,-5,0.406,0.322,0.724,69.2,95.5,0.498,52.1,52.6,7.1,0.452,18.7,315
Southern,33,23,10,0.697,-10.31,0.433,0.365,0.689,65.5,102.9,0.533,49.5,49.4,11.3,0.497,14.8,172
Saint Bonaventure,29,14,15,0.483,2.71,0.448,0.375,0.763,67.3,107.2,0.561,49.2,58.6,9.6,0.516,17.5,144
Saint Francis (NY),30,12,18,0.4,-4.75,0.426,0.328,0.665,67.6,103.5,0.512,49.4,50.7,9.6,0.484,15.4,210
Saint Johns,33,17,16,0.515,7.16,0.415,0.271,0.64,67.4,95.1,0.473,47.6,49,9.8,0.445,14.4,89
Stanford,34,19,15,0.559,7.37,0.416,0.359,0.743,68.3,102.9,0.517,51.3,49.6,8.6,0.475,14.9,75
Stephen F. Austin,32,27,5,0.844,-6.64,0.468,0.324,0.61,62.7,103.4,0.53,55.3,64.1,12.5,0.509,17.3,74
Stetson,31,15,16,0.484,-4.45,0.456,0.347,0.705,68.9,102,0.556,51.5,65.4,7.7,0.525,20.2,216
Stony Brook,33,25,8,0.758,-4.12,0.444,0.353,0.704,64.7,105.2,0.535,53.7,51.5,9.9,0.498,15.8,77
Syracuse,40,30,10,0.75,8.57,0.439,0.335,0.675,65.2,107.3,0.523,52.4,55.8,13.7,0.49,15.7,10
