 ,G,W,L,W-L%,SOS,FG%,3P%,FT%,Pace,PP100 Poss.,TS%,TRB%,AST%,STL%,eFG%,TOV%,RPI,Tournament?
Sacred Heart,31,5,26,0.161,-5.97,0.413,0.327,0.685,68.5,100.7,0.503,48.6,51.2,7.7,0.467,15.1,337,0
Saint Francis (PA),31,10,21,0.323,-5.65,0.409,0.32,0.642,63.2,97.9,0.503,45.7,53.5,9,0.476,15,295,0
Saint Josephs,34,24,10,0.706,5.08,0.47,0.379,0.645,66,107.9,0.563,52,56.7,6.7,0.539,16.5,35,1
Saint Louis,34,27,7,0.794,4.24,0.444,0.316,0.697,67.4,102.4,0.533,51,58.1,10.9,0.494,16.4,24,1
Saint Marys College,35,23,12,0.657,4.29,0.45,0.384,0.708,63.5,112.1,0.56,53.2,52.5,9.1,0.518,15.7,57,0
Saint Peters,31,14,17,0.452,-3.27,0.407,0.316,0.704,63.7,98.5,0.505,49.6,46,10,0.458,16.3,231,0
Sam Houston State,35,24,11,0.686,-7.6,0.462,0.392,0.668,67,111.2,0.562,51.4,63,9.9,0.528,16.2,126,0
Samford,33,13,20,0.394,-7.41,0.474,0.33,0.676,67.9,103.5,0.549,47.8,53,8.2,0.519,16.7,313,0
San Diego State,36,31,5,0.861,4.86,0.435,0.358,0.663,63.9,109.2,0.519,53.6,40.8,11.8,0.481,12.9,13,1
San Diego,35,18,17,0.514,1.97,0.45,0.375,0.696,63.8,105.7,0.547,50.4,50.2,9,0.512,16.2,146,0
San Francisco,33,21,12,0.636,4.28,0.473,0.362,0.648,66.3,111.2,0.561,52,55.6,8,0.535,14.9,80,0
San Jose State,31,7,24,0.226,3.05,0.374,0.332,0.722,65.5,94.3,0.495,49.3,54.8,6.5,0.453,17.7,278,0
Santa Clara,33,14,19,0.424,3.01,0.425,0.366,0.733,65.6,107.7,0.535,47.3,51.1,9.2,0.492,13.2,202,0
Savannah State,32,13,19,0.406,-5.37,0.419,0.313,0.652,65.3,93.1,0.501,48.7,48.2,10.6,0.467,20.6,274,0
Seattle University,30,13,17,0.433,-4.11,0.423,0.338,0.652,68.4,103,0.512,53.7,51.8,9.2,0.484,16.9,267,0
Seton Hall,34,17,17,0.5,5.56,0.454,0.358,0.721,66.1,106.7,0.564,49.6,55.4,9.9,0.524,16.3,136,0
Siena,38,20,18,0.526,-0.15,0.419,0.328,0.72,67.2,101.8,0.508,51.9,56.6,8.6,0.458,17,162,0
South Alabama,31,11,20,0.355,-0.51,0.403,0.333,0.682,66.7,101.7,0.509,50.7,48.7,7.3,0.471,15.5,281,0
South Carolina State,30,9,21,0.3,-5.96,0.396,0.282,0.652,66.6,92.6,0.474,49.7,53.8,8.3,0.439,18.7,332,0
South Carolina Upstate,33,18,15,0.545,-4.61,0.453,0.318,0.675,66.9,107.2,0.538,52.4,59.8,9.8,0.507,15.5,175,0
South Carolina,34,14,20,0.412,6.96,0.413,0.378,0.706,66.8,102.2,0.515,52.3,54.4,9.4,0.465,17.9,139,0
South Dakota State,32,19,13,0.594,-1.93,0.447,0.345,0.756,67,107.9,0.558,54.2,54.7,8.1,0.508,15.7,143,0
South Dakota,30,12,18,0.4,-0.81,0.442,0.354,0.751,66.9,103.5,0.546,49.5,53.4,8.1,0.501,16.4,259,0
South Florida,32,12,20,0.375,4.6,0.434,0.258,0.662,66.2,97.9,0.503,50,53.5,8.7,0.462,16.6,227,0
Southeast Missouri State,32,18,14,0.563,-6.59,0.499,0.359,0.692,71.8,114,0.583,52.8,55.5,9.8,0.556,15.7,252,0
Southeastern Louisiana,30,12,18,0.4,-7.67,0.443,0.364,0.697,66.7,103.4,0.543,46.8,49.2,6.8,0.506,16.1,319,0
USC,32,11,21,0.344,8.02,0.439,0.291,0.67,70.4,99.1,0.517,50.1,50.4,7.6,0.479,17.2,181,0
